Estimate,SE,tStat,pValue,Event
111.823823437936,276.183731541055,0.404889248233338,0.685924125915577,CPUPXCHG Index
-149.689569496416,70.2240094048709,-2.13160101174789,0.0340645021149895,USURTOT Index
142.868796154717,189.615735101096,0.753464875046075,0.453498511053139,FDIDSGMO Index
-37.5494147402317,497.168563803936,-0.0755265265626082,0.939911010515161,PCE CMOM Index
-45.9879795633288,43.336429214877,-1.06118525214213,0.289681380080058,GDP CQOQ Index
-63.1784366744464,54.8617311121241,-1.15159393248684,0.251855991571431,RSTAXAG% Index
0.00126288094942525,0.000430575708104901,2.93300556825089,0.00368468357028304,NFP TCH Index
0.0265659411104733,0.0244963177114426,1.08448712265289,0.280110821693354,EMPRGBCI Index
0.0361834390684101,0.088954396771441,0.40676391928529,0.684546942432006,USTBTOT Index
-1865.35724469002,875.299656525736,-2.13110702235854,0.034617613164701,FDTR Index
